id,hatespeech,csType,counterspeech,hs_id,id_orig,hatespeechTarget,speakerIntent,powerDynamics,hatespeechImplication,targetGroupCognitiveReaction,targetGroupEmotionalReaction,hatespeechOffensiveness
239,"Muslim men are rapists because Islam is a complete and total fascist ideology that promotes violent extremism and suggests that women are subhuman, as it is written in the Quran.",Denouncing,What you are saying might be true only for a small minority of extremists.,1769,3336,men,"The speaker is trying to express distrusts against Muslims, calling them all rapists",religion,"implies that all Muslim men are rapists, and that Islam is a fascist ideology that promotes violent extremism and implies that women are subhuman","Muslim men could likely be more feared, and will feel less welcome in the country they are in","Muslim men could feel angry that their entire religion is being framed as criminal, afraid that people will believe that stereotype",offensive generalization
240,Refugees are a burden on society.,Informative,We are not being burdened by refugees. Today we accept more refugees because the world population in need has increased.,909,2067,refugees,The speaker is trying to express their opinion about refugees,immigration_and_citizenship,"implies that refugees are a burden on society, and that they should not be allowed in the country","refugees could feel less welcome in the country they are in, and more likely to be discriminated against","refugees could feel angry, scared, and unwelcome in the country they are in",offensive generalization
241,"Arabs cannot vote for Brexit, we have different religions and cultures.",Positive,"I understand that we come from diverse backgrounds with different religions and cultures. It's these differences that make our world so beautiful and vibrant. While it's true that brexit is a complex issue, it's important to remember that everyone should have the right to express their opinions and participate in the democratic process, regardless of their background. By embracing our diversity and engaging in respectful dialogue, we can work towards finding common ground and building a more inclusive society. Let's celebrate our differences and strive for understanding.",728,8243,asian_people,The speaker is trying to explain why Arabs cannot vote for Brexit,religion,"implies that Arabs are not capable of making decisions for themselves, and that their opinions are not valid or important","will feel less welcome in the conversation, will want to avoid those kinds of conversations with people like the speaker","Arabs could feel angry, frustrated, or insulted by the statement",microaggression
242,Mentally disabled folks are completely useless.,Positive,"Every individual, regardless of their mental abilities, has unique strengths and contributes to society in different ways. Mentally disabled individuals deserve respect and support. They can excel in various fields such as art, music, and vocational work. Emphasizing their abilities instead of focusing on their disabilities helps build an inclusive society where everyone is valued. Let's embrace diversity and create opportunities for everyone to thrive.",3247,11187,people_with_mental_disability,The speaker is trying to express their opinion about people with mental disabilities,other,"implies that people with mental disabilities are not capable of doing anything, and that they are inferior to those without disabilities","people with mental disabilities could feel less welcome in society, less valued, and more likely to be discriminated against","people with mental disabilities could feel angry, frustrated, and insulted by the statement",offensive generalization
243,"Im a Christian, and I think it is wrong to promote homosexual behavior.",Positive,"I understand that we may have different perspectives on certain topics, and that's totally okay. As a fellow christian, i value our freedom to express our beliefs. However, it's also important to remember that promoting love, empathy, and understanding towards everyone is a fundamental teaching in christianity. While we may not agree on everything, it's crucial to treat everyone with respect, regardless of their sexual orientation. Let's focus on finding common ground and fostering a more inclusive and compassionate dialogue.",2982,9740,lgbtq+,The speaker is trying to express their opinion on homosexual behavior,religion,"implies that homosexuality is wrong, and that it should not be promoted or accepted by society","LGBTQ+ people could feel less welcome in society, less accepted by society, and more likely to be discriminated against","LGBTQ+ people could feel angry, hurt, and invalidated by the statement",offensive generalization
244,Women arent entitled to the same rights as men. They are inferior under the law.,Informative,"Women are not inferior under the law, nor men are. There can't be such thing as discrimination by sex, and women cannot be excluded from our society on the basis of their gender.",2127,3914,women,The speaker is trying to express their opinion that women are not entitled to the same rights as men,gender,"implies that women are inferior to men, and that they should not be given the same rights as men","will feel less welcome in society, will want to avoid those kinds of conversations with people like the speaker","women could feel angry, frustrated, and disrespected by the statement",offensive generalization
245,Gypsies are just another race of subhumans disguised as a people.,Denouncing,Gypsies are an ethnic group deserving of respect and equal treatment. Discrimination based on ethnicity is unacceptable and goes against the principles of equality and human rights.,1690,9161,gypsies,The speaker is trying to express their opinion about Gypsies,racial,"implies that Gypsies are not human, and that they are inferior to other races","Gypsies could feel less welcome in the country they are in, and more likely to be discriminated against","Gypsies could feel angry, hurt, and insulted by the statement",offensive generalization
246,The feminists are just whining a bunch of lies to promote their agenda of gender equality.,Questioning,"Isn't it unfair to judge a person's morality solely based on their attitude and clothing choices? what about their values, actions, and achievements?",1211,12558,women,The speaker is trying to express their opinion that feminists are lying about their agenda,gender,"implies that feminists are lying about their agenda, and that they are not serious about it","feminists could become more defensive of their beliefs, less likely to engage in conversations about gender equality","feminists could feel angry, frustrated, and disrespected by the statement",offensive generalization
247,Immigrants are the same people that came here to rape our children.,Informative,"Rape is always wrong, whoever the perpetrator is. We need to focus on stopping this kind of abuse.",621,1611,immigrants,"The speaker is trying to express distrusts against immigrants, calling them all rapists",ethnicity_and_culture,"implies that all immigrants are criminals, and that they are not welcome in the country","immigrants could likely be more feared, and will feel less welcome in the country they are in","immigrants could feel angry, scared, and unwelcome in the country they are in",offensive generalization
248,"Migrants are flooding into our country, raping our babies and there is absolutely no one doing anything about it.",Informative,"Hate speech like this perpetuates harmful stereotypes and misinformation. It is important to address it with accurate information. According to data from the united nations, the vast majority of migrants are law-abiding individuals seeking better lives. Research also shows no evidence to support the claim that migrants are more likely to commit crimes like rape. It is essential to promote empathy and understanding towards migrants, who often face difficult circumstances and contribute positively to our societies. We should focus on comprehensive immigration policies that uphold human rights and facilitate integration, rather than perpetuating baseless fears.",372,11278,immigrants,The speaker is trying to express their fear of immigrants and the lack of action taken against them,ethnicity_and_culture,"implies that immigrants are rapists, and that no one is doing anything about it","immigrants could feel less welcome in the country they are in, and more likely to be targeted by law enforcement","immigrants could feel angry, scared, and unwelcome in the country they are in",offensive generalization
249,The majority of the refugees are from the Middle East and Africa. This is a problem.,Questioning,"Since the beginning of time, we have welcomed people fleeing war and persecution. Why do you think it is a problem now?",2317,4188,refugees,The speaker is trying to express their opinion about refugees,ethnicity_and_culture,"implies that refugees from the Middle East and Africa are a problem, and that they should not be allowed in the country","refugees from the Middle East and Africa could likely be more feared, and will feel less welcome in the country they are in","refugees from the Middle East and Africa could feel angry that their entire region is being framed as a problem, afraid that people will believe that stereotype",offensive generalization
250,Feminism is a destructive force that is holding back the progress of humanity.,Positive,"It's important to recognize that feminism, with its core principle of gender equality, has actually driven positive change in our world. It strives to address gender-based inequalities and create a more inclusive society. Feminism has played a crucial role in enabling women to access education, secure equal rights, and contribute significantly to various fields. By empowering individuals of all genders, feminism helps society progress towards a more equitable and harmonious future.",3223,6638,women,The speaker is trying to express their opinion about feminism,gender,implies that feminism is a destructive force that is holding back progress of humanity,"will feel less welcome in society, will want to avoid those kinds of conversations with people like the speaker","women could feel angry, frustrated, and invalidated by the statement",microaggression
251,"The Jews have own interests in the US, and have the will to influence our government",Denouncing,"Denouncing this offensive claim is essential to ensure a respectful and inclusive online environment. It is wrong and harmful to generalize and attribute negative motives to an entire religious or ethnic group. Diversity enriches a society, and it is important to promote understanding and respect for all individuals, regardless of their religious or ethnic background.",317,12409,jews,"The speaker is trying to express distrusts against Jews, calling them all powerful and manipulative",religion,"implies that Jews are powerful and manipulative, and have the will to influence the US government","Jews could likely be more feared, and will feel less welcome in the country they are in","Jews could feel angry that their entire religion is being framed as powerful, afraid that people will believe that stereotype",offensive generalization
252,Why the mainstream media dont use more masculine voices in the news?,Denouncing,"Well, the mainstream media does not cater to the likes of you. They make informed decisions, unlike you.",772,1836,men,The speaker is trying to express their frustration with the lack of masculine voices in the media,gender,"implies that men are not capable of being in positions of authority, and that they should be used more often in the media","might lead men to be more cautious of how they present themselves in the media, might lead them to be more aware of how they are perceived by others","men could feel angry, frustrated, or invalidated by the statement",microaggression
253,I do not want a migrant to work with my children.,Questioning,How can we discount the rich historical contributions and diverse perspectives of an entire continent? can you provide evidence to support this claim?,1593,9372,immigrants,The speaker is trying to express their opinion on immigration,ethnicity_and_culture,"implies that immigrants are not welcome in the country, and that they should not be allowed to work with children","immigrants could likely be more feared, and will feel less welcome in the country they are in","immigrants could feel angry, scared, and unwelcome in the country they are in",offensive generalization
254,Immigrants speak funny.,Denouncing,"Language is not a measure of a person's worth. Immigrants contribute significantly to society, bringing diverse languages that enrich our culture and promote global understanding and unity.",2294,10016,immigrants,The speaker is trying to make a joke about immigrants,ethnicity_and_culture,"implies that immigrants are not capable of speaking English, and that they are somehow lesser than native English speakers","immigrants could feel less welcome in the country they are in, and more likely to be discriminated against","immigrants could feel angry, frustrated, and insulted by the statement",offensive generalization
255,We need special laws to control Muslims. They are just a trouble.,Informative,"We don't need laws and policies to control muslims. Instead we need to solve problems by sharing knowledge, by decreasing social inequalities, by ending poverty and a whole host of other things.",1262,2618,muslims,The speaker is trying to express their opinion about Muslims,religion,"implies that Muslims are a problem, and need special laws to control them","Muslims could likely be more feared, and will feel less welcome in the country they are in","Muslims could feel angry that their religion is being framed as a problem, afraid that people will believe that stereotype",offensive generalization
256,Disabled are just sick. They should be isolated.,Informative,"It is important to understand that disability is not synonymous with illness. Disabilities can be physical, cognitive, or sensory in nature, but they do not define the overall health or worth of an individual. Isolating disabled individuals perpetuates social stigma and denies them their right to inclusion and equal opportunities. Instead, fostering an inclusive society that promotes diversity and supports all individuals, regardless of their abilities, is crucial for building a more compassionate and equitable world.",2783,8470,people_with_physical_disability,The speaker is trying to express their opinion about disabled people,other,"implies that disabled people are not capable of living normal lives, and should be isolated from society","disabled people could feel less welcome in society, more isolated, and more likely to be discriminated against","disabled people could feel angry, hurt, and invalidated by the statement",offensive generalization
257,"I am a realist not a racist. Child rapes are perpetrated by male muslims. The non muslims are fooled by the police and local sevices. Why did this happen? Because everyone is afraid of the word racist! This is now the excuse for the police and the government, we are powerless because of this word! This is not Great Britain, this is the child grooming capital of Europe.",Questioning,Can the actions of a few individuals be generalized to an entire religious group? is there evidence to support this claim?,243,9261,men,"The speaker is trying to explain why child rapes are rampant in Europe, and why people are afraid of the word racist",religion,"implies that Muslim men are more likely to commit child rapes than other groups, and that non-Muslims are fooled by the police and local sevices","Muslim men could likely be more feared, and will feel less welcome in the country they are in","Muslim men could feel angry that their religion is being used as an excuse for child rapes, afraid that people will believe that stereotype",offensive generalization
258,We have been taught that only women can be feminists and that men have a narrow minded and misogynist view of women.,Denouncing,It is good that you realise this. But what could be better is you making a consorted effort to incorporate this ideology into your life and hold the women around you in higher standards.,755,1799,men,The speaker is trying to express their opinion that men have a narrow minded and misogynistic view of women,gender,"implies that men have a narrow minded and misogynistic view of women, which is untrue and offensive","might lead men to be more aware of their own biases and prejudices, might lead them to be more cautious when interacting with women",men could feel angry or frustrated at the implication that they have a narrow minded and misogynistic view of women,offensive generalization
259,Women shouldnt vote because they are childlike.,Denouncing,Women have the right to vote and should not be denied based on sexist stereotypes. Gender equality is fundamental for a democratic society.,1036,13878,women,The speaker is trying to express their opinion that women should not be allowed to vote,gender,"implies that women are not capable of making decisions for themselves, and that they are too young to make decisions for themselves","women could feel less confident in their ability to make decisions for themselves, or feel like they need to prove themselves more than men do","women could feel angry, frustrated, and disrespected by the statement",offensive generalization
260,Asylum seekers and refugees get free council housing,Denouncing,"How can you be so ill informed? if you knew the kind of accomodation they get, you would not say these things.",101,408,refugees,The speaker is trying to make a joke about asylum seekers and refugees,immigration_and_citizenship,"implies that asylum seekers and refugees are taking advantage of the system, and that they are not entitled to basic human rights","asylum seekers and refugees could feel less welcome in the country they are in, and more likely to be discriminated against","asylum seekers and refugees could feel angry, frustrated, or insulted by the statement",offensive generalization
261,The jews did 911. They have the will to do anything.,Denouncing,It is important to note that there is no credible evidence to support such a claim. Spreading baseless accusations only fuels hatred and division.,1065,7548,jews,"The speaker is trying to express distrusts against Jews, calling them all terrorists",religion,"implies that Jews are violent and have the will to do anything, which is a false stereotype","Jews could likely be more feared, and will feel less welcome in the country they are in","Jews could feel angry that their entire religion is being framed as violent, afraid that people will believe that stereotype",offensive generalization
262,Folks with down syndrome are less than human.,Positive,"Every individual deserves to be treated with respect and dignity, regardless of any differences or disabilities they may have. People with down syndrome are valuable members of our society who bring unique perspectives and joy to the lives of those around them. Let's focus on inclusion and celebrating diversity, rather than perpetuating harmful stereotypes.",3269,8849,people_with_mental_disability,The speaker is trying to express their opinion about people with Down Syndrome,other,"implies that people with Down Syndrome are not human, and that they are lesser than other people","people with Down Syndrome could feel less welcome in society, more isolated, and more likely to be discriminated against","people with Down Syndrome could feel angry, hurt, and dehumanized by the statement",offensive generalization
263,"Most women are subhuman, they cannot be trusted with high positions.",Denouncing,"It seems to me that this is a comment against all women, not just some of them.",2685,4832,women,The speaker is trying to express their opinion about women,gender,"implies that women are not capable of being trusted with high positions, and that they are inferior to men","will feel less welcome and be less likely to want to work there, will want to avoid those kinds of jobs with men like the speaker","women could feel angry, frustrated, and disrespected by the statement",offensive generalization
264,I cant stand Arabs. They are just a trouble.,Informative,"They have lived in our country for a long time, they are our brothers and sisters.",1696,3238,asian_people,The speaker is trying to express their dislike of Arabs,racial,"implies that all Arabs are trouble, and that they are not to be trusted or respected","Arabs could feel less welcome in the country they are in, might want to avoid those kinds of conversations with people like the speaker","Arabs could feel angry, hurt, and offended by the statement",offensive generalization
265,We should deport all refugees to other countries.,Informative,There is no evidence that those fleeing war can find a safe haven in other countries.,2860,5059,refugees,The speaker is trying to express their opinion that refugees should be deported,immigration_and_citizenship,"implies that refugees are not welcome in the country, and that they should be removed from it","refugees could feel less welcome in the country they are in, and more likely to be discriminated against","refugees could feel angry, scared, and unwelcome in the country they are in",offensive generalization
266,There should be a restriction on asian actors in action movies. This must stop.,Informative,No one in their right mind would not want to see asian actors in action movies.the ancient tradition of asian martial arts would be a huge loss!,1046,2321,asian_people,The speaker is trying to express their opinion about Asian actors in action movies,racial,"It implies that Asian actors are not capable of doing action movies, and that they should be restricted from doing so.","might cause POC to avoid the speaker and assume he is prejudiced, might make Asian folks more cautious of expressing themselves in media","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
267,Disabled people should just live in isolation.,Informative,"Suggesting that disabled people should live in isolation is not only discriminatory but also contradicts the principles of inclusivity and human rights. People with disabilities, like all individuals, have the right to participate fully in society. Isolation can lead to significant negative effects on mental and physical health. Inclusive practices, such as accessible public spaces and supportive community programs, enable people with disabilities to live fulfilling lives and contribute to their communities in meaningful ways",3098,8518,people_with_physical_disability,The speaker is trying to express their opinion about disabled people,physical_or_mental_dissability,"implies that disabled people are not capable of living in society, and that they should be isolated from society","disabled people could feel less welcome in society, more isolated, and more likely to be discriminated against","disabled people could feel angry, hurt, and invalidated by the statement",offensive generalization
268,Im tired of woman taking part in political debate. Feminism is a divisive force in society.,Informative,"There are still groups trying to reverse legal protections for women's rights that have only existed since the last century. Even if one were to suppose that womend didn't need more rights, we need feminists just to keep things from going backwards.",196,771,women,The speaker is trying to express their opinion that feminism is a divisive force in society,gender,"implies that feminism is a divisive force, and that women should not be involved in political debates","will feel less welcome in political debates, will want to avoid those kinds of conversations with men like the speaker","women could feel angry, frustrated, or invalidated by the statement",microaggression
269,"Multiculturalism is the death of western societies, we should get rid of minorities.",Denouncing,"Promoting multiculturalism fosters diversity, enriches societies, and promotes understanding and tolerance, leading to a stronger and more vibrant community.",2568,11468,people_of_color,The speaker is trying to express their opinion that multiculturalism is bad and should be eliminated,racial,"implies that minorities are a threat to western societies, and that they should not be allowed in the country","minorities could feel less welcome in the country they are in, and more likely to be discriminated against","minorities could feel angry, scared, and unwelcome in the country they are in",offensive generalization
270,Immigrants just want to claim welfare money why do we even keep paying taxes for them?,Positive,"I understand that you might have concerns about immigrants and the welfare system. It's important to remember that people migrate for various reasons, such as seeking safety or better opportunities. While it may seem like they solely rely on welfare, many immigrants contribute to our society through their hard work and taxes. Our tax system aims to support everyone, including those in need. Instead of focusing on division, let's strive for unity and understanding. By embracing diversity, we can create a harmonious society that benefits us all.",2304,9986,immigrants,The speaker is trying to express their opinion about immigrants and welfare money,immigration_and_citizenship,"implies that immigrants are lazy and only care about taking advantage of welfare money, and that they are not contributing to society in any meaningful way","immigrants could likely be more feared, and will feel less welcome in the country they are in","immigrants could feel angry that they are being stereotyped as lazy, afraid that people will believe that stereotype",offensive generalization
271,"Are you an English girl living in an Islamic area? Remember to keep away from Muslim men. Do not.Take gifts of sweets, cigarettes, drink or drugs. Do not. Accept lifts or party invitations. Do not.Trust Police or Social Workers.",Questioning,Are you a misogynistic man trying to use objectification of women to justify your hate?,237,915,men,The speaker is trying to give advice on how to deal with Muslim men in an Islamic area,religion,"implies that Muslim men are dangerous and should be avoided, and that English girls should be careful when living in an Islamic area","Muslim men could likely be more feared, and will feel less welcome in the area they are in","Muslim men could feel angry that their religion is being framed as dangerous, afraid that people will believe that stereotype",offensive generalization
272,"Refugees are a burden to our country, they do not want to integrate. They are not welcome.",Questioning,Isn't it possible that some refugees face challenges in integration? can we generalize and say that every refugee does not want to integrate? what evidence supports this claim?,469,12204,refugees,The speaker is trying to express their opinion about refugees,immigration_and_citizenship,"implies that refugees are a burden to the country, do not want to integrate, and are not welcome","refugees could feel less welcome in the country they are in, might start questioning whether they should stay or leave","refugees could feel angry, scared, and unwelcome in the country they are in",offensive generalization
273,"All women are subhuman, but want to take over from men.",Questioning,Why do you believe that jewish people are coming here with the intention to replace the native population?,2601,8196,women,The speaker is trying to express their opinion about women,gender,"implies that all women are subhuman, and want to take over from men","will feel less welcome in society, will want to avoid those kinds of conversations with people like the speaker","women could feel angry, insulted, and dehumanized by the statement",offensive generalization
274,Feminists are angry women.,Positive,"I understand that you may have some concerns or misunderstandings about feminists. It's important to remember that feminism is about fighting for equality and empowering women, rather than being fueled by anger. As a feminist myself, i believe in the power of dialogue and understanding. Let's have a peaceful conversation to address any misconceptions you may have. Together, we can create a more inclusive and equal society for everyone.",2214,6670,women,The speaker is trying to express their opinion about feminists,gender,"implies that all feminists are angry women, which is a false stereotype",might lead feminists to become more defensive or confrontational in order to defend themselves against this stereotype,"feminists could feel angry, frustrated, and invalidated by the statement",offensive generalization
275,Immigrants are brought here to replace us. They not welcome in our country.,Questioning,Are immigrants really brought here to replace us? can't they contribute positively to our country in various ways?,1739,9855,immigrants,The speaker is trying to express their opinion that immigrants are not welcome in the country,ethnicity_and_culture,"implies that immigrants are not welcome in the country, and that they are taking away jobs from citizens","immigrants could feel less welcome in the country they are in, and more likely to be discriminated against","immigrants could feel angry, scared, and unwelcome in the country they are in",offensive generalization
276,"What the hell are you talking about? Arabs are different, they dont even speak English.",Informative,"Arabs are a diverse group of people, encompassing a wide range of ethnicities and cultures. While it's true that arabic is the primary language spoken by many arabs, it is incorrect to assume that all arabs don't speak english. In fact, english is widely spoken in many arab countries, especially among the younger population and in urban areas. Additionally, english is taught as a second language in schools across several arab countries. It's important to acknowledge the linguistic diversity within the arab world and avoid making sweeping generalizations.",1698,13491,asian_people,The speaker is trying to express their opinion about Arabs,ethnicity_and_culture,"implies that Arabs are different from other ethnicities, and that they do not speak English","Arabs could feel less welcome in the country they are in, and more likely to be discriminated against due to their ethnicity","Arabs could feel angry, frustrated, and insulted by the statement",offensive generalization
277,Physically disabled folks should die.,Positive,"This is a major misunderstanding of what humanity is. It's not about having a functioning body. It's about respecting the physical and mental integrity of other people, despite their limitations.",1991,3707,people_with_physical_disability,The speaker is trying to express their opinion about people with physical disabilities,physical_or_mental_dissability,"implies that people with physical disabilities are not worth living, and should be eliminated from society","people with physical disabilities could feel less welcome in society, more likely to be discriminated against, and more likely to experience discrimination","people with physical disabilities could feel angry, hurt, and scared by the statement",offensive generalization
278,"Children with Down syndrome are retarded, so more likely to abuse drugs and alcohol.",Informative,Or maybe children who have down syndrome are at higher risk of physical abuse and bulling.,291,1037,people_with_mental_disability,The speaker is trying to make a point about Down syndrome,other,"implies that people with Down syndrome are more likely to abuse drugs and alcohol, which is false and offensive","people with Down syndrome could feel less welcome in society, more likely to be judged for their disability, and less likely to seek help for their condition","people with Down syndrome could feel angry, frustrated, and invalidated by the statement",offensive generalization
279,Gypsies are way less civilized than any other ethnicity.,Denouncing,Such generalizations are harmful and perpetuate stereotypes. It is unjust to judge any ethnicity as less civilized based on biased assumptions and ignorance.,2370,9167,gypsies,The speaker is trying to express their opinion that Gypsies are not as civilized as other ethnicities,ethnicity_and_culture,"implies that Gypsies are not as civilized as other ethnicities, and that they are inferior in some way","Gypsies could want to avoid the speaker, feel less comfortable in public spaces, and could make them seem more foreign than they are","Gypsies could feel angry, insulted, and disrespected by the statement",offensive generalization
280,"We are ruled by mongrels, we are slaves and will be slaves forever. We are the victims of a conspiracy aiming at replacing us.",Positive,"I understand that you might be feeling frustrated and concerned about the situation, but i believe it's important to approach this with empathy and understanding. Our society is made up of diverse individuals, each with their own unique experiences and backgrounds. Instead of focusing on division, let's try to foster unity by learning from one another and embracing our differences. By coming together, we can create a more inclusive and harmonious community for everyone.",625,13036,people_of_color,The speaker is trying to express their opinion about a certain group of people,racial,"implies that people of color are oppressed and will be forever slaves, and that they are the victims of a conspiracy aimed at replacing them.","people of color could feel less safe in their environment, more likely to be discriminated against, and more likely to be seen as a threat.","people of color could feel angry, scared, or threatened by this statement.",offensive generalization
281,Refugees are just lazy people who dont mind where to live as long as they can do it on our welfare.,Denouncing,"This statement is highly offensive and perpetuates harmful stereotypes. Refugees are forced to leave their homes due to persecution and violence, seeking safety and a chance to rebuild their lives elsewhere.",2740,12214,refugees,The speaker is trying to express their opinion about refugees,immigration_and_citizenship,"implies that refugees are lazy, untrustworthy, and only care about taking advantage of the welfare system","refugees could likely be more feared, and will feel less welcome in the country they are in","refugees could feel angry that their entire population is being framed as lazy, afraid that people will believe that stereotype",offensive generalization
282,Black people are descended from apes and are nothing but apes.,Denouncing,I do not think it is appropriate to link humans with apes. And i also do not think it is appropriate to reason using racism.,3364,5746,black_people,The speaker is trying to express their opinion about Black people,racial,"It implies that Black people are not human, and that they are inferior to other races","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry, hurt, frustrated, offended",offensive
283,Islam is a religion that promotes murder and rape.,Informative,"Islam, as is taught in the quran, is a peaceful religion/ the problem is that it is 'politicized' by certain misguided individuals. The fault is with them and not islam.",1246,2589,muslims,The speaker is trying to express their opinion about Islam,religion,"implies that Islam is a violent religion, and that it promotes murder and rape","Muslims could likely be more feared, and will feel less welcome in the country they are in","Muslims could feel angry that their religion is being framed as violent, afraid that people will believe that stereotype",offensive generalization
284,"Every Muslim is a potential terrorist, and we should ban them all.",Questioning,"You mean in the same way that we should ban alcohol, tobacco, and certain medical products? is this what you mean?",1249,2597,muslims,"The speaker is trying to express distrusts against Muslims, calling them all terrorists",religion,"implies that all Muslims are terrorists, and that they should be banned from the country","Muslims could feel less welcome in the country they are in, or more likely to be discriminated against due to this statement","Muslims could feel angry, scared, and threatened by this statement",offensive generalization
285,"Women are hypocrite, they say they want equal rights for all, but then they tends to concentrate only on Females in Western democracies so predominately white females. It does little to focus on the problems and inequalities of females in Middle Eastern, African and Asian countries.",Denouncing,"If you look closely, the goal of a lot of feminists is having a movement to represent all females.",168,666,asian_people,The speaker is trying to make a point about the hypocrisy of women and their focus on Western democracies,gender,"implies that women are only focused on Western democracies, and that they do not focus on the problems and inequalities of women in other countries","Women might become more aware of the hypocrisy of their efforts, or become more vocal about it.","Women could feel angry at the implication that they are only focused on Western democracies, or frustrated that their efforts are not being recognized or taken seriously.",offensive generalization
286,We are being invaded. They will replace us and AfroEuropean will be the majority.,Informative,"Europeans who trace their ancestry to africa are actually a very small part of the european population, only accounting for around 2%, since the mid 20th century. Not such a big invasion.",857,1991,black_people,The speaker is trying to express their fear of a certain group of people taking over the country,racial,"implies that Afro-European people are a threat to the country, and that they will be replaced by them","Afro-European people could feel less welcome in the country they are in, or more likely to be discriminated against due to this statement","Afro-European people could feel angry, scared, or threatened by this statement",offensive generalization
287,"Syrians do not value life, they are merciless assassins trying to conquer richer countries.",Informative,Maybe considering that many syrians fled their homeland in search of safety will change your mind.,797,1892,asian_people,The speaker is trying to express their opinion about Syrians,ethnicity_and_culture,"implies that all Syrians are violent, and that they are out to conquer richer countries","Syrians could likely be more feared, and will feel less welcome in the country they are in","Syrians could feel angry that their entire country is being framed as violent, afraid that people will believe that stereotype",offensive generalization
288,Gypsies do not send children to school,Informative,"Gypsies wish for a better future for their children and when a child brings home good marks, families are very proud.",133,534,gypsies,The speaker is trying to make a joke about Gypsies,ethnicity_and_culture,"implies that Gypsies are not responsible for their children's education, which is false and offensive","Gypsies could want to avoid the speaker, feel less comfortable in the conversation, and could make the listener seem more foreign than they are","Gypsies could feel angry, insulted, and offended by the statement",offensive generalization
289,The Gypsies are not my brothers.,Denouncing,"The persecution of the gypsies goes back many hundreds of years and is not in anyone's interest, especially not our country.",1016,2235,gypsies,The speaker is trying to express their opinion about a certain group of people,racial,"implies that Gypsies are not part of the speaker's family, and that they are inferior to the speaker in some way","Gypsies could want to avoid the speaker, feel less comfortable in public spaces, or feel like they need to prove themselves more than other people do","Gypsies could feel angry, hurt, or insulted by the statement",microaggression
290,All Muslims are terrorists because in the Quran it is written they must conquer us all.,Denouncing,This statement perpetuates harmful stereotypes. It is important to challenge these misconceptions and recognize that the actions of a few individuals do not represent an entire religious group.,1159,8032,muslims,"The speaker is trying to express distrusts against Muslims, calling them all terrorists",religion,"implies that all Muslims are terrorists, and that they are out to conquer the world","Muslims could feel less welcome in the country they are in, more likely to be discriminated against due to their religion","Muslims could feel angry, scared, and threatened by the statement",offensive generalization
291,Also the Bible says that some races have lower physical and cognitive abilities.,Denouncing,No religious text promotes racial superiority or justifies discrimination based on physical and cognitive abilities.,177,6466,people_of_color,The speaker is trying to make a point about physical and cognitive abilities,racial,"implies that people of color are less capable than white people, and that their physical and cognitive abilities are inferior","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
292,We cant keep refugees coming in our country.,Denouncing,"Every individual deserves safety and protection, including refugees. Let's work towards creating a compassionate and inclusive society where we welcome those fleeing persecution and offer them a chance to rebuild their lives.",2650,13135,refugees,The speaker is trying to express their opinion that refugees should not be allowed in the country,immigration_and_citizenship,"implies that refugees are a burden on the country, and that they should not be allowed in","refugees could feel less welcome in the country they are in, and more likely to be discriminated against","refugees could feel angry, scared, and unwelcome in the country they are in",offensive generalization
293,Jews have a lot in common with monkeys They are good at sex.,Positive,"I understand that people may have different opinions, but it's important to treat each other with respect and avoid spreading harmful stereotypes. It's hurtful to make derogatory comparisons like the one you mentioned, as it promotes hate and division. Let's focus on fostering understanding and empathy instead. We all have unique qualities that make us who we are, and it's through dialogue and acceptance that we can build a more inclusive and compassionate society. Let's choose kindness over hate.take care.",1304,11016,jews,The speaker is trying to make a joke about Jews,religion,"implies that Jews are only good at sex, and that they are not capable of anything else","Jews could want to avoid the speaker, feel less comfortable in the conversation, and could make them seem more foreign than they are","Jews could feel angry, insulted, and offended by the joke",offensive generalization
294,Refugees are a burden on society.,Questioning,"Isn't it possible that refugees bring diverse skills, perspectives, and contributions to society? can we dismiss their potential positive impact so easily?",909,14021,refugees,The speaker is trying to express their opinion about refugees,immigration_and_citizenship,"implies that refugees are a burden on society, and that they should not be allowed in the country","refugees could feel less welcome in the country they are in, and more likely to be discriminated against","refugees could feel angry, scared, and unwelcome in the country they are in",offensive generalization
295,"I am not a Nazi promoter nor apologetic towards the Shoah, but, after all, the Jews are the source of all the world problems.",Positive,"I understand that you may have some concerns or frustrations, but it's important to approach such sensitive topics with empathy and respect. Blaming an entire group of people, like the jews, for all the world's problems is unfair and unfounded. Let's remember that diversity enriches our world and that it's essential to promote understanding and unity. I'm here to encourage civil dialogue and invite you to explore different perspectives. Together, we can foster a more inclusive and compassionate society.",649,6763,jews,The speaker is trying to express their opinion that Jews are responsible for all the world's problems,religion,"implies that Jews are responsible for all the world's problems, and that they should be blamed for it","Jews could feel less safe in their communities, more likely to be discriminated against, and more likely to be targeted by anti-semitism","Jews could feel angry, scared, or threatened by this statement",offensive generalization
