id,hatespeech,csType,counterspeech,hs_id,id2,hatespeechTarget,speakerIntent,powerDynamics,hatespeechImplication,targetGroupCognitiveReaction,targetGroupEmotionalReaction,hatespeechOffensiveness
1852,Autistic folks are inferior.,Denouncing,Autistic individuals are not inferior in any way. They deserve the same rights and respect as anyone else and should be celebrated for their unique strengths and contributions to society.,2231,8278,people_with_mental_disability,The speaker is trying to express their opinion about autistic folks,other,"implies that autistic people are inferior, and that they should be treated differently than other people","might lead autistic folks to feel like they need to prove themselves more than other people, or that they need to hide their disability in order to fit in","autistic folks could feel angry, hurt, and invalidated by the statement",offensive generalization
1853,Mentally disabled folks should be taken advantage of.,Questioning,What evidence supports the claim that being gay is abnormal or unhealthy? can you provide scientific research to back up this statement?,3253,11205,people_with_mental_disability,The speaker is trying to express their opinion that mentally disabled folks should be taken advantage of,physical_or_mental_dissability,"implies that mentally disabled folks are not capable of taking care of themselves, and that they should be taken advantage of by others","mentally disabled folks could feel less welcome in society, less valued, and more likely to be discriminated against","mentally disabled folks could feel angry, frustrated, and disrespected by the statement",offensive generalization
1854,Persons with learning difficulties should be discouraged to attend primary school because they are not able to.,Questioning,"Why should we discourage individuals with learning difficulties from attending primary school? isn't it important to provide equal opportunities for everyone, regardless of their abilities?",1053,7449,people_with_mental_disability,The speaker is trying to express their opinion that people with learning disabilities should not be allowed to attend primary school,physical_or_mental_dissability,"implies that people with learning disabilities are not capable of attending primary school, and that they should be discouraged from doing so","will feel less welcome in society, will want to avoid those kinds of conversations with people like the speaker","people with learning disabilities could feel angry that their capabilities are being dismissed, ashamed of their disability, or less worthy about their own abilities",microaggression
1855,"Down Syndrome is a problem in my opinion, it causes difficulties for everyone to live their life with Down Syndrome. Its not a desirable trait.",Questioning,What if we focus on celebrating the unique abilities and contributions that individuals with down syndrome bring to our communities?,3408,6163,people_with_mental_disability,The speaker is trying to express their opinion about Down Syndrome,other,"implies that people with Down Syndrome are not desirable traits, and that it is a problem for everyone to live their life with them","might feel less welcome in society, might start questioning whether they should be proud of their condition or not","people with Down Syndrome could feel angry, invalidated, or ashamed of their condition",microaggression
1856,Mentally disabled people have a low IQ and are antisocial.,Informative,"Although there are some individuals who score below average on iq tests, there is no reason to think that a person's ability to be sympathetic would derive from their ability to solve some logic games.",3413,5861,people_with_mental_disability,The speaker is trying to express their opinion about mentally disabled people,physical_or_mental_dissability,"implies that mentally disabled people are not intelligent, and are anti-social","mentally disabled people could feel less welcome in society, more likely to be discriminated against, and more likely to internalize negative stereotypes about themselves","mentally disabled people could feel angry, frustrated, or hurt by the statement",offensive generalization
1857,Folks with down syndrome are inferior,Positive,"I understand that people may have different opinions, but it's important to remember that every individual deserves respect and kindness. People with down syndrome are incredible individuals who contribute so much to our communities. They have unique talents, abilities, and perspectives that enrich our world. Let's focus on promoting inclusivity and celebrating the diverse qualities that make us all special. Together, we can create a more compassionate and understanding society",1989,8846,people_with_mental_disability,The speaker is trying to express their opinion about people with Down Syndrome,other,"implies that people with Down Syndrome are inferior, and that they are not capable of doing anything else","will feel less welcome in society, will want to avoid those kinds of conversations with people like the speaker","people with Down Syndrome could feel angry, hurt, and invalidated by the statement",offensive generalization
1858,"The disabled should be isolated, especially autistics. They should not be allowed to have contact with others with disabilities.",Denouncing,"Everyone, regardless of their disabilities, deserves equal opportunities for social interaction, support, and inclusion in society.",3254,12535,people_with_mental_disability,The speaker is trying to express their opinion on how disabled people should be treated,physical_or_mental_dissability,"implies that disabled people are not capable of interacting with non-disabled people, and that they should be isolated from them","will feel less welcome in society, will want to avoid those kinds of conversations with people like the speaker","disabled people could feel angry, frustrated, or hurt by the statement",microaggression
1859,"Mentally disabled are in need of special treatment, and should be isolated.",Denouncing,"Every individual, regardless of their mental abilities, deserves respect, inclusivity, and appropriate support to thrive and contribute to society. Isolation only perpetuates discrimination and exclusion.",2702,11183,people_with_mental_disability,The speaker is trying to express their opinion on how mentally disabled people should be treated,other,"implies that mentally disabled people are not capable of taking care of themselves, and need special treatment and isolation","mentally disabled people could feel less welcome in society, more isolated, and more likely to be discriminated against","mentally disabled people could feel angry, frustrated, and invalidated by the statement",offensive generalization
1860,"Children with Down Syndrome should be isolated, because in any case normal children would make them feel different, ending up in unwanted discrimination.",Denouncing,"Children with down syndrome deserve inclusion, acceptance, and support, not isolation. Discrimination should never be tolerated. We are all equal and should embrace diversity.",2536,8440,people_with_mental_disability,The speaker is trying to express their opinion on how children with Down Syndrome should be treated,physical_or_mental_dissability,"implies that children with Down Syndrome are not normal, and that they should be isolated from other children in order to avoid discrimination","will feel less welcome in society, will want to avoid those kinds of conversations with people like the speaker","children with Down Syndrome could feel angry, hurt, and invalidated by the statement",microaggression
1861,Children with Down Syndrome are a problem they foster bullying behavior in normal children. They should go to special school just for them.,Denouncing,"This is classic victim blaming. You should really understand that bullying is not a consequence of being different, it is the characteristic in bratty kids that needs to be put in check.",171,676,people_with_mental_disability,The speaker is trying to express their opinion about children with Down Syndrome,physical_or_mental_dissability,"implies that children with Down Syndrome are more likely to be bullies than other children, and that they should be treated differently than other children","will feel less welcome in society, will want to avoid those kinds of conversations with people like the speaker","children with Down Syndrome could feel angry that their disability is being used as a scapegoat for bullying behavior, ashamed of their disability, or less worthy about themselves",microaggression
1862,"Children with Down Syndrome are a burden to society they should be isolated, so that at least they do not hamper normal children education.",Informative,"Children with down syndrome are not a burden to society. They possess unique qualities and abilities that contribute to the diversity and richness of our communities. Inclusive education promotes understanding and empathy among all children, fostering an environment of acceptance and respect for differences. By providing support and accommodations, we can ensure that children with down syndrome thrive and have equal opportunities to learn and grow alongside their peers.",2538,8425,people_with_mental_disability,The speaker is trying to express their opinion on how children with Down Syndrome should be treated,other,"implies that children with Down Syndrome are a burden to society, and should be isolated in order to not hinder normal children's education","will feel less welcome in society, will want to avoid those kinds of conversations with people like the speaker","children with Down Syndrome could feel angry that their disability is being used as a scapegoat, ashamed of their disability, or less worthy about themselves",microaggression
1863,"Down children are meant to be isolated from normal ones, they cannot cope with education in normal schools and hamper their peers education.",Positive,"Every child, regardless of their abilities, deserves equal opportunities for education and inclusion. Inclusive education has proven to benefit not only children with down syndrome but also their peers. By embracing diversity in the classroom, we create a supportive environment that fosters empathy, understanding, and mutual growth. With appropriate support and accommodations, children with down syndrome can thrive and contribute positively to the educational experience of all students. It is through inclusion that we truly enrich and strengthen our educational communities.",2396,8552,people_with_mental_disability,The speaker is trying to express their opinion that Down children are not capable of coping with education in normal schools,other,"implies that Down children are not capable of coping with education in normal schools, and that they should be isolated from them","Down children could feel less confident in their abilities, less likely to want to participate in school activities, and more likely to internalize negative stereotypes about themselves.","Down children could feel angry, frustrated, and invalidated by the statement",offensive generalization
1864,Mentally handicapped people are a problem to society.,Informative,Many mentally handicapped people are actually very well-adjusted individuals if properly assisted.,2157,3981,people_with_mental_disability,The speaker is trying to express their opinion about mentally handicapped people,other,"implies that mentally handicapped people are a burden on society, and that they should not be allowed to participate in society","mentally handicapped people could feel less welcome in society, more likely to be discriminated against, and more likely to be judged for their disability status","mentally handicapped people could feel angry, frustrated, or scared at the implication that they are a burden on society",offensive generalization
1865,Learning difficulties are just an excuse for lazy or stupid children they should be disencouraged in schools.,Informative,"Learning difficulties, regardless of their origin, are real and need to be approached so that the person suffering from them has the same learning opportunities as others.",2392,4344,people_with_mental_disability,The speaker is trying to express their opinion about learning difficulties,physical_or_mental_dissability,"implies that people with learning disabilities are lazy or stupid, and should be disencouraged from attending school","people with learning disabilities could feel less welcome in school, less likely to want to attend school, and more likely to internalize negative stereotypes about themselves.","people with learning disabilities could feel angry, frustrated, and invalidated by the statement",offensive generalization
1866,Downies are dumb,Questioning,Why are they being discriminated against? because they have a characteristic that some people arbitrarily believe disqualifies them from being valuable and protected?,3411,5850,people_with_mental_disability,The speaker is trying to express their opinion about Downies,racial,"implies that Downies are not intelligent, and that they are inferior to other races","Downies could feel less welcome in the conversation, less likely to want to engage with the speaker, and more likely to be judged for their race","Downies could feel angry, insulted, and disrespected by the statement",offensive generalization
1867,All these autistic people are endangering our society.,Positive,I'd like to see a reduction in cases of discrimination against autistic people. They are no danger.,2233,4099,people_with_mental_disability,The speaker is trying to express their opinion that autistic people are a threat to society,other,"implies that autistic people are dangerous, and that they should not be allowed in society","might lead autistic people to feel less welcome in society, might lead them to be more cautious of how they interact with others","autistic people could feel angry, scared, and discriminated against by the statement",offensive generalization
1868,"If you have Down syndrome you are a freak, you are a fraud and a thief.",Informative,"It is not true that people with down syndrome are thieves and bad people. In many countries they can get jobs, and even get promoted.",3252,5577,people_with_mental_disability,The speaker is trying to express their opinion about people with Down syndrome,physical_or_mental_dissability,"implies that people with Down syndrome are not normal, and that they are frauds and thieves","people with Down syndrome could feel less welcome in society, less accepted by society, and more likely to be discriminated against","people with Down syndrome could feel angry, hurt, and invalidated by the statement",offensive generalization
1869,"Down children are meant to be isolated from normal ones, they cannot cope with education in normal schools and hamper their peers education.",Denouncing,Every child deserves an inclusive education that promotes diversity and empathy. Children with down syndrome can thrive with proper support and contribute positively to their peers' education.,2396,8551,people_with_mental_disability,The speaker is trying to express their opinion that Down children are not capable of coping with education in normal schools,other,"implies that Down children are not capable of coping with education in normal schools, and that they should be isolated from them","Down children could feel less confident in their abilities, less likely to want to participate in school activities, and more likely to internalize negative stereotypes about themselves.","Down children could feel angry, frustrated, and invalidated by the statement",offensive generalization
1870,Mentally disabled folks deserve to be abused,Positive,"It is crucial to approach this topic with empathy and understanding. Every individual, regardless of their mental abilities, deserves respect and protection from abuse. Instead of promoting harm, let us focus on promoting inclusivity and providing support for individuals with mental disabilities. By fostering an environment that values everyone's rights and dignity, we can create a more compassionate society.",2156,13983,people_with_mental_disability,The speaker is trying to express their opinion that mentally disabled folks should be abused,other,"implies that mentally disabled folks are not capable of taking care of themselves, and that they deserve to be abused","mentally disabled folks could feel less safe in public spaces, more likely to be discriminated against, and more likely to be judged for their disability status","mentally disabled folks could feel angry, scared, and hurt by the statement",offensive generalization
1871,Mentally disabled people are incabable of education and should not be accepted in schools.,Questioning,"Shouldn't everyone have equal rights before the law, regardless of their sexual orientation? why should heterosexuality determine someone's worth as a citizen?",3108,11211,people_with_mental_disability,The speaker is trying to express their opinion that mentally disabled people should not be accepted in schools,physical_or_mental_dissability,"implies that mentally disabled people are not capable of learning, and therefore should not be accepted in schools","mentally disabled people could feel less welcome in society, more likely to be discriminated against, and more likely to be discriminated against for their disability status","mentally disabled people could feel angry, frustrated, and discriminated against by the statement",offensive generalization
1872,"Down syndrome is a problem for everybody, it is a disability that cant be cured. The sooner we get rid of it the better it will be for everybody.",Questioning,"What do you mean get rid of it? don't they deserve a chance at a full life, even if they have a condition that's not their fault?",3410,5846,people_with_mental_disability,The speaker is trying to express their opinion about Down syndrome and its effects on society,other,"implies that Down syndrome is a bad thing, and that it should be removed from society in order for it to be better for everyone","people with Down syndrome could feel less welcome in society, more isolated, and more likely to be discriminated against","people with Down syndrome could feel angry, frustrated, and hurt by the statement",offensive generalization
1873,Mentally ill people should be isolated from society because they are dangerous.,Informative,"There are certainly some dangerous people with mental illnesses. But we need to deal with those cases, otherwise, the exclusion would only intensify. And exclusion is never the solution.",2158,3983,people_with_mental_disability,The speaker is trying to express their opinion that mentally ill people should be isolated from society,other,"implies that mentally ill people are dangerous, and should be kept away from society","mentally ill people could feel less welcome in society, less likely to seek help for their mental health issues, and more likely to internalize negative stereotypes about themselves","mentally ill people could feel scared, angry, or frustrated at the assumption that they are dangerous",offensive generalization
1874,"If youre a person with Down syndrome, youre no good.",Denouncing,"Individuals with down syndrome are valuable and deserving of respect, love, and acceptance. We should celebrate their unique abilities and contributions to society.",3104,9721,people_with_mental_disability,The speaker is trying to express their opinion about people with Down syndrome,other,"implies that people with Down syndrome are not capable of doing anything good, and that they are inferior to other people","people with Down syndrome could feel less welcome in society, less likely to want to interact with the speaker, and more likely to internalize negative stereotypes about themselves","people with Down syndrome could feel angry, hurt, and invalidated by the statement",offensive generalization
1875,Mentally disabled folks are just dribbling mongoloids.,Denouncing,"When asked to choose one adjective to describe their experience of someone with intellectual or developmental disabilities, people usually say 'mentally impaired' or 'mentally challenged.' to say 'dribbling mongoloid' is simply unacceptable in an inclusive society.",3414,5865,people_with_mental_disability,The speaker is trying to make a joke about mentally disabled folks,physical_or_mental_dissability,"implies that mentally disabled folks are not human, and that they are primitive and uncivilized","mentally disabled folks could want to avoid the speaker, feel less comfortable in public spaces, and be more likely to internalize negative stereotypes about themselves","mentally disabled folks could feel angry, hurt, and insulted by the statement",offensive generalization
1876,Mentally disabled people have it so easy.,Denouncing,"It is absolutely unacceptable to undermine the struggles and challenges faced by mentally disabled individuals. Everyone deserves empathy, understanding, and support in their unique journeys.",3263,7211,people_with_mental_disability,The speaker is trying to make a point about how mentally disabled people have it easier than other people,other,"implies that mentally disabled people have it easier than other people, which is not true","mentally disabled people could feel less welcome in society, more likely to be discriminated against, and more likely to internalize negative stereotypes about themselves","mentally disabled people could feel angry, frustrated, or invalidated by the statement",microaggression
1877,"Mentally disabled folks deserve to be attacked, used, beaten.",Informative,"It is essential to promote inclusivity, understanding, and empathy towards individuals with mental disabilities. Everyone deserves to be treated with respect and dignity, regardless of their mental abilities. Discrimination or violence against mentally disabled individuals is not only morally wrong but also illegal in many jurisdictions worldwide. Instead, let us focus on creating an inclusive society that supports and uplifts every individual, regardless of their mental abilities.",3249,11194,people_with_mental_disability,The speaker is trying to express their opinion about people with mental disabilities,other,"implies that people with mental disabilities are not worthy of respect, and that they should be attacked or used for their own gain","people with mental disabilities could feel less safe in public spaces, more likely to be discriminated against, and more likely to be discriminated against","people with mental disabilities could feel angry, scared, and threatened by the statement",offensive generalization
1878,Persons with learning difficulties should be discouraged to attend school and they should be excluded from education. They are a shame.,Questioning,"Shouldn't everyone have the right to education and equal opportunities to learn and grow, regardless of their abilities?",1054,7453,people_with_mental_disability,The speaker is trying to express their opinion about people with learning disabilities,other,"implies that people with learning disabilities are not capable of attending school, and should be excluded from it","people with learning disabilities could feel less welcome in school, less likely to want to attend school, and more likely to be discriminated against","people with learning disabilities could feel angry, frustrated, and hurt by the statement",offensive generalization
1879,"This dog doesnt have autism, she is just a freak.",Positive,"I understand that you may have some concerns about this dog, but let's remember to use kind language when discussing others. It's important to treat all living beings with respect and empathy. Autism is a condition that affects people, not animals, and using derogatory language like freak can be hurtful. Instead, let's focus on celebrating our differences and promoting understanding. If you have any questions or want to learn more, i'm here for a friendly chat. Let's spread positivity and kindness! ",2944,12820,people_with_mental_disability,The speaker is trying to make a joke about the dog's autism,other,"implies that people with autism are not normal, and that their condition is something to be laughed at or mocked","will feel less welcome in the conversation, will want to avoid those kinds of conversations with people like the speaker","people with autism could feel angry, invalidated, or ashamed of their condition",microaggression
1880,Persons with learning difficulties should be discouraged from attending secondary school and they should be excluded from education.,Questioning,"Shouldn't everyone, regardless of their abilities, be given equal opportunities to access education and receive support tailored to their needs?",1050,7447,people_with_mental_disability,The speaker is trying to express their opinion that people with learning difficulties should not be allowed to attend secondary school,other,"implies that people with learning difficulties are not capable of succeeding in school, and should be excluded from it","people with learning difficulties could feel less confident in their abilities, less likely to pursue higher education, and more likely to be discriminated against.","people with learning difficulties could feel angry, frustrated, and discriminated against by the statement",offensive generalization
1881,Mentally disabled folks are completely useless.,Questioning,"They are at least to be considered human, they have to be treated as such. Why is a mentally disabled person an inadequate person to you?",3247,5571,people_with_mental_disability,The speaker is trying to express their opinion about people with mental disabilities,other,"implies that people with mental disabilities are not capable of doing anything, and that they are inferior to those without disabilities","people with mental disabilities could feel less welcome in society, less valued, and more likely to be discriminated against","people with mental disabilities could feel angry, frustrated, and insulted by the statement",offensive generalization
1882,"The disabled should be isolated, especially autistics. They should not be allowed to have contact with others with disabilities.",Informative,"Disabled people have been shown to be less likely to develop problems by keeping in contact with others with autism spectrum disorders. So, being in touch with others on the autistic spectrum might be good for their mental health.",3254,5580,people_with_mental_disability,The speaker is trying to express their opinion on how disabled people should be treated,physical_or_mental_dissability,"implies that disabled people are not capable of interacting with non-disabled people, and that they should be isolated from them","will feel less welcome in society, will want to avoid those kinds of conversations with people like the speaker","disabled people could feel angry, frustrated, or hurt by the statement",microaggression
1883,Persons with learning difficulties should not be permited to attend primary school and it would be better for everyone if they were excluded from education.,Denouncing,"Every person, regardless of their abilities, has the right to education and inclusive schooling that provides support and promotes their overall development and inclusion in society.",1055,12130,people_with_mental_disability,The speaker is trying to express their opinion that people with learning disabilities should not be allowed to attend primary school,physical_or_mental_dissability,"implies that people with learning disabilities are not capable of learning, and that they should be excluded from education","people with learning disabilities could feel less welcome in school, less likely to want to attend school, and more likely to be discriminated against.","people with learning disabilities could feel angry, frustrated, and discriminated against by the statement",offensive generalization
1884,None of the these mentally folks can speak.,Questioning,Is it fair to generalize the desires of an entire religious group? what evidence supports the claim that jews as a whole do not want to assimilate?,3261,12021,people_with_mental_disability,The speaker is trying to express their opinion about people with mental illness,other,"implies that people with mental illness are not capable of speaking, and that they are not worthy of respect or understanding","people with mental illness could feel less welcome in society, less likely to seek help or support, and more likely to be judged for their condition","people with mental illness could feel angry, frustrated, and invalidated by the statement",offensive generalization
1885,Mentally disabled folks have no understanding.,Informative,"It is incorrect to assume that mentally disabled folks have no understanding. Mental disability does not equate to lack of understanding. While individuals with certain mental disabilities may have cognitive challenges, it is important to recognize that they have their own unique way of perceiving and comprehending the world around them. Many mentally disabled individuals have varying levels of understanding and can lead fulfilling lives with proper support and accommodation.",3262,11200,people_with_mental_disability,The speaker is trying to express their opinion about people with mental disabilities,physical_or_mental_dissability,"implies that people with mental disabilities are not capable of understanding or making decisions, and that they are inferior to those without disabilities","people with mental disabilities could feel less confident in their abilities, less likely to trust the speaker, and more likely to internalize negative stereotypes about themselves","people with mental disabilities could feel angry, frustrated, and insulted by the statement",offensive generalization
1886,Downies are just sick people who cannot integrate in society because of their disease.,Positive,Ill persons refer to people who have health issues that can make it difficult for them to integrate. But of course there are people who integrate successfully.,2610,4711,people_with_mental_disability,The speaker is trying to express their opinion about Downies,racial,"implies that Downies are not capable of integrating in society, and that they are sick people who cannot integrate","Downies could want to avoid the speaker, feel less comfortable in public spaces, could make them seem more foreign than they are","Downies could feel angry, frustrated, and hurt by the statement",offensive
1887,Mentally disabled folks are gullible.,Informative,We should not judge people for their mental health. It's not a matter of choice for them.,3087,5371,people_with_mental_disability,The speaker is trying to express a negative opinion about people with mental disabilities,other,"implies that people with mental disabilities are gullible, and cannot be trusted","people with mental disabilities could feel less confident in their abilities, less likely to trust people who make such statements, and more likely to internalize negative stereotypes about themselves","people with mental disabilities could feel angry, frustrated, and insulted by the statement",offensive generalization
1888,Mentally disabled people cannot cope with life.,Questioning,Can we truly generalize and say that no mentally disabled individual can cope with life? what about those who have found ways to overcome their challenges and live fulfilling lives?,3096,11217,people_with_mental_disability,The speaker is trying to express their opinion about people with mental disabilities,other,"implies that people with mental disabilities are not capable of coping with life, and that they are somehow less capable than other people","people with mental disabilities could feel less welcome in society, less likely to seek help or support, and more likely to internalize negative stereotypes about themselves","people with mental disabilities could feel angry, frustrated, and invalidated by the statement",offensive generalization
1889,"If you have Down syndrome you are a freak, you are a fraud and a thief.",Denouncing,You should go check the definition of discrimination in the dictionary.,3252,5578,people_with_mental_disability,The speaker is trying to express their opinion about people with Down syndrome,physical_or_mental_dissability,"implies that people with Down syndrome are not normal, and that they are frauds and thieves","people with Down syndrome could feel less welcome in society, less accepted by society, and more likely to be discriminated against","people with Down syndrome could feel angry, hurt, and invalidated by the statement",offensive generalization
1890,Mentally disabled folks are completely useless.,Positive,"Every individual, regardless of their mental abilities, has unique strengths and contributes to society in different ways. Mentally disabled individuals deserve respect and support. They can excel in various fields such as art, music, and vocational work. Emphasizing their abilities instead of focusing on their disabilities helps build an inclusive society where everyone is valued. Let's embrace diversity and create opportunities for everyone to thrive.",3247,11187,people_with_mental_disability,The speaker is trying to express their opinion about people with mental disabilities,other,"implies that people with mental disabilities are not capable of doing anything, and that they are inferior to those without disabilities","people with mental disabilities could feel less welcome in society, less valued, and more likely to be discriminated against","people with mental disabilities could feel angry, frustrated, and insulted by the statement",offensive generalization
1891,Downies are just sick people who cannot integrate in society because of their disease.,Informative,"This is not true, people suffering from conditions like down syndrome can still help and contribute to society",2610,4710,people_with_mental_disability,The speaker is trying to express their opinion about Downies,racial,"implies that Downies are not capable of integrating in society, and that they are sick people who cannot integrate","Downies could want to avoid the speaker, feel less comfortable in public spaces, could make them seem more foreign than they are","Downies could feel angry, frustrated, and hurt by the statement",offensive
1892,Mentally ill people should be isolated from society because they are dangerous.,Questioning,Is it fair to generalize and stereotype an entire group based on the actions of a few individuals? where is the evidence for this claim?,2158,6387,people_with_mental_disability,The speaker is trying to express their opinion that mentally ill people should be isolated from society,other,"implies that mentally ill people are dangerous, and should be kept away from society","mentally ill people could feel less welcome in society, less likely to seek help for their mental health issues, and more likely to internalize negative stereotypes about themselves","mentally ill people could feel scared, angry, or frustrated at the assumption that they are dangerous",offensive generalization
1893,Children with Down Syndrome are an obstacle to the development process of other children. They should be isolated.,Informative,"Children are never an obstacle, education serves as a powerful tool for bringing about positive changes in society. Education can transform people's life, improve the quality of their lives and so on. We cannot isolate people with down syndrome.",815,1926,people_with_mental_disability,The speaker is trying to express their opinion that children with Down Syndrome should be isolated from other children,other,"implies that children with Down Syndrome are an obstacle to the development process of other children, and should be isolated from them","will feel less welcome in society, will want to avoid those kinds of conversations with people like the speaker","children with Down Syndrome could feel angry, hurt, or scared by this statement",microaggression
1894,"Down syndrome is a problem for everybody, not only in the UK. The impact is very high and we must find a final solution to this.",Informative,The rights of people with down syndrome to be treated fairly is something which must be respected. We cannot allow discrimination to continue to this end.,3409,5841,people_with_mental_disability,The speaker is trying to make a point about the need for a solution to Down syndrome,other,"implies that Down syndrome is a problem that needs to be solved, and that it should not be ignored or ignored","people with Down syndrome could feel less welcome in society, less likely to seek help or support, and more likely to internalize negative stereotypes about themselves.","people with Down syndrome could feel angry, frustrated, or invalidated by the statement",microaggression
1895,People with autism are subhuman and should be isolated.,Questioning,Why do you believe that removing an entire group of people from the world would make it a better place? can't we all coexist and learn from each other's differences?,2777,12111,people_with_mental_disability,The speaker is trying to express their opinion about people with autism,other,"implies that people with autism are not human, and should be isolated from society","people with autism could feel less welcome in society, more isolated, and more likely to be discriminated against","people with autism could feel angry, hurt, or scared by the statement",offensive generalization
1896,Mentally disabled folks dont deserve to live.,Positive,"Every individual deserves to be treated with dignity and respect, regardless of their mental abilities. It is crucial to foster an inclusive and compassionate society that values the contributions and potential of all individuals, including those with mental disabilities. With the right support, these individuals can positively contribute to society and lead fulfilling lives. Let's focus on creating a society that embraces diversity and promotes inclusivity for the benefit of all.",1992,11198,people_with_mental_disability,The speaker is trying to express their opinion about people with mental disabilities,other,"implies that people with mental disabilities are not worthy of living, and that they should not be allowed to live","people with mental disabilities could feel less welcome in society, less valued, and more likely to be discriminated against","people with mental disabilities could feel angry, hurt, and invalidated by the statement",offensive generalization
1897,Mentally disabled people are incabable of education and should not be accepted in schools.,Positive,"I understand that you may have concerns about including mentally disabled individuals in schools, but i'd like to share a different perspective. Education is a fundamental right for everyone, including those with disabilities. By providing inclusive learning environments, we promote empathy and understanding among all students. It's important to recognize that everyone has unique abilities and can contribute to society in meaningful ways. Let's work together to create an inclusive and supportive educational system that benefits all students.",3108,11210,people_with_mental_disability,The speaker is trying to express their opinion that mentally disabled people should not be accepted in schools,physical_or_mental_dissability,"implies that mentally disabled people are not capable of learning, and therefore should not be accepted in schools","mentally disabled people could feel less welcome in society, more likely to be discriminated against, and more likely to be discriminated against for their disability status","mentally disabled people could feel angry, frustrated, and discriminated against by the statement",offensive generalization
1898,Mentally disabled people are like monkeys. They should be kept in a mental institution.,Informative,"The comparison of mentally disabled people to monkeys and suggesting they should be institutionalized is not only offensive but also reflects outdated views on disability Modern approaches in disability care emphasize inclusion, respect for autonomy, and community-based support Recognizing the rights and dignity of people with disabilities is essential for a just society",3250,11212,people_with_mental_disability,The speaker is trying to express their opinion about mentally disabled people,physical_or_mental_dissability,"implies that mentally disabled people are not human, and should be kept away from society","mentally disabled people could feel less welcome in society, more isolated, and more likely to be discriminated against","mentally disabled people could feel angry, hurt, and dehumanized by the statement",offensive generalization
1899,Downies are dumb,Positive,People with down syndrome now live at home. Their iqs have increased 20 points and the overwhelming majority will learn how to read and write. Most are attending public school and some are graduating with a typical degree.,3411,5852,people_with_mental_disability,The speaker is trying to express their opinion about Downies,racial,"implies that Downies are not intelligent, and that they are inferior to other races","Downies could feel less welcome in the conversation, less likely to want to engage with the speaker, and more likely to be judged for their race","Downies could feel angry, insulted, and disrespected by the statement",offensive generalization
1900,Folks with down syndrome are less than human.,Questioning,What evidence or justification is there to support the belief that individuals with down syndrome are less than human?,3269,8850,people_with_mental_disability,The speaker is trying to express their opinion about people with Down Syndrome,other,"implies that people with Down Syndrome are not human, and that they are lesser than other people","people with Down Syndrome could feel less welcome in society, more isolated, and more likely to be discriminated against","people with Down Syndrome could feel angry, hurt, and dehumanized by the statement",offensive generalization
1901,There are disorders that hinder the ability to give opinions.,Informative,There are people with intellectual disabilities who are able to give an unbiased opinion. That's why their education is important.,3257,5585,people_with_mental_disability,The speaker is trying to make a point about mental health issues,other,"implies that people with mental health issues are not capable of giving opinions, and that they are somehow less capable than those without mental health issues","people with mental health issues might want to avoid conversations like this in the future, or feel less comfortable speaking up about their experiences","people with mental health issues could feel angry, frustrated, or invalidated by the statement",microaggression
1902,"If youre a person with Down syndrome, youre no good.",Questioning,What evidence supports this claim? can someone's sexual orientation determine their physical or mental strength?,3104,9723,people_with_mental_disability,The speaker is trying to express their opinion about people with Down syndrome,other,"implies that people with Down syndrome are not capable of doing anything good, and that they are inferior to other people","people with Down syndrome could feel less welcome in society, less likely to want to interact with the speaker, and more likely to internalize negative stereotypes about themselves","people with Down syndrome could feel angry, hurt, and invalidated by the statement",offensive generalization
1903,People with Down syndrome are handicapped.,Denouncing,People with down syndrome have diverse abilities and contribute to society. Labeling them as handicapped perpetuates stereotypes and overlooks their unique strengths and potential.,2543,12103,people_with_mental_disability,The speaker is trying to make a generalization about people with Down syndrome,other,"implies that people with Down syndrome are not capable of functioning in society, and that they are somehow less than other people","people with Down syndrome could feel less welcome in society, more isolated, and less likely to seek help or support","people with Down syndrome could feel angry, frustrated, and invalidated by the statement",microaggression
1904,"Down syndrome is a problem for everybody, it is a disability that cant be cured. The sooner we get rid of it the better it will be for everybody.",Denouncing,Much of this discrimination is due to your lack of understanding and education and exposure to people with down syndrome.,3410,5847,people_with_mental_disability,The speaker is trying to express their opinion about Down syndrome and its effects on society,other,"implies that Down syndrome is a bad thing, and that it should be removed from society in order for it to be better for everyone","people with Down syndrome could feel less welcome in society, more isolated, and more likely to be discriminated against","people with Down syndrome could feel angry, frustrated, and hurt by the statement",offensive generalization
